item_name,synonym
#3 AWG Copper THHN Wire (3 phase And ground),#3 awg copper thhn wire (3 phase and ground)
10000 - 11999 Mini Excavator,10000 - 11999 mini excavator
2032 cell battery,2032 cell battery
60 amp 3 pole breaker,60 amp 3 pole breaker
60 amp breaker,60 amp breaker
Airlines,airlines
Bucket Truck,bucket truck
CC matching,cc matching
Circuit tracer,circuit tracer
Cover testing meters and tracers flatrate,cover testing meters and tracers flatrate
Gcfi outlets,gcfi outlets
Lacer,lacer
Lift,lift
Megger Test,megger test
Milliohm Test to test contactors and breakers,milliohm test to test contactors and breakers
Mounting kit,mounting kit
Multi meter,multi meter
Outlet cover,outlet cover
Pro3000 Tone and Probe Kit (mapping out safe location for breaker and outlet),pro3000 tone and probe kit (mapping out safe location for breaker and outlet)
Scissor Lift,scissor lift
Scissor Lift-Under 30',scissor lift-under 30'
Torque wrench,torque wrench
elec test,elec test
multimeter statistics equipment,multimeter statistics equipment
#4 AWG WIRE 250FT,#4 awg wire 250ft
1 box 12 gauge wire nuts,1 box 12 gauge wire nuts
1/2 Flex conduit connector,1/2 flex conduit connector
1/2 KO Seal,1/2 ko seal
1/2 amp cc type fuse,1/2 amp cc type fuse
1/2 to 3/4 reducing washer,1/2 to 3/4 reducing washer
100ft Wire and Clips to run in the ceiling from the middle of the store to the back office,100ft wire and clips to run in the ceiling from the middle of the store to the back office
10gwire 100ft,10gwire 100ft
12 GAUGE /2-GAUGE SOLID CU MC,12 gauge /2-gauge solid cu mc
120 - 24 vdc transformer,120 - 24 vdc transformer
120V to 24V Transformer,120v to 24v transformer
14 gauge wire 2 wire,14 gauge wire 2 wire
15 amp 125 volt GFCI outlet,15 amp 125 volt gfci outlet
18/2 Low Voltage Wire,18/2 low voltage wire
1900 blanks covers,1900 blanks covers
1900 box with brackets deep,1900 box with brackets deep
2 exhaust fans,2 exhaust fans
20 AMP OUTLET,20 amp outlet
20 Amp Breaker,20 amp breaker
20 amp bolt on breakers,20 amp bolt on breakers
200A 250V 3 POLE FUSIBLE DISCONNECT (OUTDOOR) :,200a 250v 3 pole fusible disconnect (outdoor) :
24V DC 96W Dimmable 120V-277V LED Driver,24v dc 96w dimmable 120v-277v led driver
24v transformer,24v transformer
250 AMP Breaker,250 amp breaker
250 volt commercial outlet,250 volt commercial outlet
2x12 prism ceiling light cover,2x12 prism ceiling light cover
2x4 ready LED troffer,2x4 ready led troffer
3 Prong Twist Lock Marine Grade Cord,3 prong twist lock marine grade cord
3/4 Flex 1 hole clamp,3/4 flex 1 hole clamp
3/4 threaded plastic bushing,3/4 threaded plastic bushing
30A 600V FUSES,30a 600v fuses
32T8 Bulbs,32t8 bulbs
4 Prong Twist Lock Marine Grade Cord,4 prong twist lock marine grade cord
"4-foot, 2 Bulb LED Retro fit Kit","4-foot, 2 bulb led retro fit kit"
50 ft 12 gage electrical wire,50 ft 12 gage electrical wire
6 gauge wire,6 gauge wire
600v 5amp time delay fuse,600v 5amp time delay fuse
70A 3-Phase Breaker (Commercial Grade),70a 3-phase breaker (commercial grade)
80 inches of clipper lacing,80 inches of clipper lacing
AAA batteries,aaa batteries
ABB 600 Volt 60 Amp Non Fuseable Disconnect,abb 600 volt 60 amp non fuseable disconnect
AC WORKS AC Connectors 1 ft. 12/3 SJTW 15Amp to 20 Amp Adapter Cord,ac works ac connectors 1 ft. 12/3 sjtw 15amp to 20 amp adapter cord
AMAX LIGHTING 120-Volt 6.63 in. Electronic Ballast 2-PL 13-Watt Lamps,amax lighting 120-volt 6.63 in. electronic ballast 2-pl 13-watt lamps
Access panle with lock,access panle with lock
Adaptable Door Bell,adaptable door bell
Advance XI050C140V054BST1M 50W LED,advance xi050c140v054bst1m 50w led
Afci/gfci breaker,afci/gfci breaker
Agreed Rate,agreed rate
