item_name,vendor_id,min_price,max_price,unit
#3 AWG Copper THHN Wire (3 phase And ground),demo_vendor,,,
10000 - 11999 Mini Excavator,demo_vendor,,,
2032 cell battery,demo_vendor,,,
60 amp 3 pole breaker,demo_vendor,,,
60 amp breaker,demo_vendor,,,
Airlines,demo_vendor,,,
Bucket Truck,demo_vendor,,,
CC matching,demo_vendor,,,
Circuit tracer,demo_vendor,,,
Cover testing meters and tracers flatrate,demo_vendor,,,
Gcfi outlets,demo_vendor,,,
Lacer,demo_vendor,,,
Lift,demo_vendor,,,
Megger Test,demo_vendor,,,
Milliohm Test to test contactors and breakers,demo_vendor,,,
Mounting kit,demo_vendor,,,
Multi meter,demo_vendor,,,
Outlet cover,demo_vendor,,,
Pro3000 Tone and Probe Kit (mapping out safe location for breaker and outlet),demo_vendor,,,
Scissor Lift,demo_vendor,,,
Scissor Lift-Under 30',demo_vendor,,,
Torque wrench,demo_vendor,,,
elec test,demo_vendor,,,
multimeter statistics equipment,demo_vendor,,,
#4 AWG WIRE 250FT,demo_vendor,,,
1 box 12 gauge wire nuts,demo_vendor,,,
1/2 Flex conduit connector,demo_vendor,,,
1/2 KO Seal,demo_vendor,,,
1/2 amp cc type fuse,demo_vendor,,,
1/2 to 3/4 reducing washer,demo_vendor,,,
100ft Wire and Clips to run in the ceiling from the middle of the store to the back office,demo_vendor,,,
10gwire 100ft,demo_vendor,,,
12 GAUGE /2-GAUGE SOLID CU MC,demo_vendor,,,
120 - 24 vdc transformer,demo_vendor,,,
120V to 24V Transformer,demo_vendor,,,
14 gauge wire 2 wire,demo_vendor,,,
15 amp 125 volt GFCI outlet,demo_vendor,,,
18/2 Low Voltage Wire,demo_vendor,,,
1900 blanks covers,demo_vendor,,,
1900 box with brackets deep,demo_vendor,,,
2 exhaust fans,demo_vendor,,,
20 AMP OUTLET,demo_vendor,,,
20 Amp Breaker,demo_vendor,,,
20 amp bolt on breakers,demo_vendor,,,
200A 250V 3 POLE FUSIBLE DISCONNECT (OUTDOOR) :,demo_vendor,,,
24V DC 96W Dimmable 120V-277V LED Driver,demo_vendor,,,
24v transformer,demo_vendor,,,
250 AMP Breaker,demo_vendor,,,
250 volt commercial outlet,demo_vendor,,,
2x12 prism ceiling light cover,demo_vendor,,,
2x4 ready LED troffer,demo_vendor,,,
3 Prong Twist Lock Marine Grade Cord,demo_vendor,,,
3/4 Flex 1 hole clamp,demo_vendor,,,
3/4 threaded plastic bushing,demo_vendor,,,
30A 600V FUSES,demo_vendor,,,
32T8 Bulbs,demo_vendor,,,
4 Prong Twist Lock Marine Grade Cord,demo_vendor,,,
"4-foot, 2 Bulb LED Retro fit Kit",demo_vendor,,,
50 ft 12 gage electrical wire,demo_vendor,,,
6 gauge wire,demo_vendor,,,
600v 5amp time delay fuse,demo_vendor,,,
70A 3-Phase Breaker (Commercial Grade),demo_vendor,,,
80 inches of clipper lacing,demo_vendor,,,
AAA batteries,demo_vendor,,,
ABB 600 Volt 60 Amp Non Fuseable Disconnect,demo_vendor,,,
AC WORKS AC Connectors 1 ft. 12/3 SJTW 15Amp to 20 Amp Adapter Cord,demo_vendor,,,
AMAX LIGHTING 120-Volt 6.63 in. Electronic Ballast 2-PL 13-Watt Lamps,demo_vendor,,,
Access panle with lock,demo_vendor,,,
Adaptable Door Bell,demo_vendor,,,
Advance XI050C140V054BST1M 50W LED,demo_vendor,,,
Afci/gfci breaker,demo_vendor,,,
Agreed Rate,demo_vendor,,,
"Air Volume 259 CFM @ .125"" Static Pressure, 2.2 Sones, 0.222 HP, Single Phase",demo_vendor,,,
Airline,demo_vendor,,,
Anchor bolts,demo_vendor,,,
Anchor hardware for unistrut,demo_vendor,,,
Anchors,demo_vendor,,,
"BRN, ORG , YEL electric phasing tape",demo_vendor,,,
Back draft Damper,demo_vendor,,,
Ballast AURA-DR-WG17-2 100-277V,demo_vendor,,,
Battery,demo_vendor,,,
Bell,demo_vendor,,,
Box cover. Wire nuts,demo_vendor,,,
Bracket,demo_vendor,,,
Breaker,demo_vendor,,,
Breaker 20 amp 2pole bolt on,demo_vendor,,,
Breaker lock bar to replace old one,demo_vendor,,,
"Breaker, Service Disconnect",demo_vendor,,,
Bulb 4ft,demo_vendor,,,
Bulbs,demo_vendor,,,
Buzzer and Receiver,demo_vendor,,,
COMMERCIAL Floor and top door stopper,demo_vendor,,,
CONDUIT CLAMPS,demo_vendor,,,
Capacitor,demo_vendor,,,
Caulk,demo_vendor,,,
Celing fans,demo_vendor,,,
Charging Mounts,demo_vendor,,,
Charging Panels,demo_vendor,,,
Circuit tracer testing,demo_vendor,,,
Cleaning materials,demo_vendor,,,
Commercial Bell System,demo_vendor,,,
Commercial sensor,demo_vendor,,,
Compressor oil,demo_vendor,,,
Concrete,demo_vendor,,,
Condensate Pump,demo_vendor,,,
Condensation catch,demo_vendor,,,
Conduit,demo_vendor,,,
Conduit and Box,demo_vendor,,,
"Conduit, Junction Boxes, Supports",demo_vendor,,,
Connectors and mounting hardware,demo_vendor,,,
Contactors,demo_vendor,,,
Copper Net,demo_vendor,,,
Cords/Hardware,demo_vendor,,,
Coupler,demo_vendor,,,
Cover,demo_vendor,,,
Custom Order Hand Dryer,demo_vendor,,,
DC7000 control board,demo_vendor,,,
Damp location led driver,demo_vendor,,,
Data cable,demo_vendor,,,
Dc power pack converter,demo_vendor,,,
Deep Clean - Oven (Chemicals and Service),demo_vendor,,,
Degreaser,demo_vendor,,,
Difference,demo_vendor,,,
Dispose,demo_vendor,,,
Door bell,demo_vendor,,,
Door bell system,demo_vendor,,,
Doorbell,demo_vendor,,,
Drainage pan and tubing,demo_vendor,,,
EV receptacle,demo_vendor,,,
Elecrical Connectors & materials,demo_vendor,,,
Electrical,demo_vendor,,,
Electrical Connectors,demo_vendor,,,
Electrical Wire Cap,demo_vendor,,,
Electrical Wiring,demo_vendor,,,
Electrical and Misc.,demo_vendor,,,
Electrical tape,demo_vendor,,,
Electrical tape and screw,demo_vendor,,,
Electrical wire,demo_vendor,,,
Emt conduit,demo_vendor,,,
Extension wires,demo_vendor,,,
Fan replacements,demo_vendor,,,
Fans,demo_vendor,,,
Fasteners / Staples / Mounting Accessories,demo_vendor,,,
Filter ac,demo_vendor,,,
Fittings connectors,demo_vendor,,,
Fittings for new compressor,demo_vendor,,,
Flat,demo_vendor,,,
Flat plate,demo_vendor,,,
Fuses,demo_vendor,,,
"GE Miniature Circuit Breaker: THQB, 30 A, 120/240V AC, Three Phase, 10kA at 120/240V AC, Std",demo_vendor,,,
"GE Molded Case Circuit Breaker: 70 A Amps, 14kA at 277/480V AC",demo_vendor,,,
GE Q-Line 30 Amp 2 in. Double-Pole Circuit Breaker,demo_vendor,,,
GFI Cover Plate,demo_vendor,,,
Gas Connector,demo_vendor,,,
Grounding pigtails,demo_vendor,,,
H E L P E R,demo_vendor,,,
"HUBBELL GFCI Receptacle: Duplex, Black, 5-20R, 20 A, 125V AC",demo_vendor,,,
Hand dryer,demo_vendor,,,
Hand dryer thin air,demo_vendor,,,
Hand dryer wxtreme air with heat and boost,demo_vendor,,,
Handryer,demo_vendor,,,
Hardware and Misc.,demo_vendor,,,
Heat Trace,demo_vendor,,,
Heavy duty outlet,demo_vendor,,,
INCURRED,demo_vendor,,,
Incured time,demo_vendor,,,
Inducer Motor and Wiring,demo_vendor,,,
Industrial boxes,demo_vendor,,,
Installation Hardware,demo_vendor,,,
J,demo_vendor,,,
"KIT,THERMOSTAT CONTROL,DRY,82-200F",demo_vendor,,,
Knockouts,demo_vendor,,,
L A B O R,demo_vendor,,,
LED Driver,demo_vendor,,,
LED transformer driver,demo_vendor,,,
Led direct driver and bulb,demo_vendor,,,
"Leviton 15 Amp Self-Test SmartlockPro Combo Duplex Guide Light and Tamper Resistant GFCI Outlet, White",demo_vendor,,,
"Leviton Decora 20 Amp 125-Volt Combination Duplex Outlet and USB Outlet, White",demo_vendor,,,
Light cover,demo_vendor,,,
Lovato DPBF1810A 30A 120v AC Definite purpose contactor,demo_vendor,,,
MC Wires,demo_vendor,,,
METALLIC WEATHERPROOF JUNCTION BOX,demo_vendor,,,
Manufacturers Complete menu board kit,demo_vendor,,,
Material,demo_vendor,,,
Materials,demo_vendor,,,
Materials and parts mssing,demo_vendor,,,
Mc cable,demo_vendor,,,
Mc connectors,demo_vendor,,,
Mercury Relay,demo_vendor,,,
Metallic straps,demo_vendor,,,
Mis,demo_vendor,,,
Misc Material,demo_vendor,,,
Misc electrical parts wire nuts tape etc,demo_vendor,,,
Misc screws tape wirenuts,demo_vendor,,,
Misc tape hardware wire nuts. Bracket,demo_vendor,,,
Misc.,demo_vendor,,,
"Misc. Tape, Wirenuts, Anchors, Etc.",demo_vendor,,,
"Miscellaneous Materials (wire nuts, mounting hardware)",demo_vendor,,,
Miscellaneouss Materials Screws & Anchors,demo_vendor,,,
"Motor mount, Cable Ties, and fastening hardware",demo_vendor,,,
Mounting Brackets and Fasteners,demo_vendor,,,
Mounting Hardware,demo_vendor,,,
New Outlet,demo_vendor,,,
PARTS,demo_vendor,,,
PVC PIPE 2/4,demo_vendor,,,
PVC PIPE CEMENT,demo_vendor,,,
"Patterson Fan 30"" High Velocity Drum Fan w/ Yoke Mount, 115V, 12,000 CFM, 1 HP",demo_vendor,,,
Piping,demo_vendor,,,
Plantronics power supply,demo_vendor,,,
Plumbing Connections,demo_vendor,,,
Port hookup coupler and cable,demo_vendor,,,
"Power Cord, Wire Nuts / Connectors, Electrical Tape",demo_vendor,,,
Power Drops,demo_vendor,,,
Power cell,demo_vendor,,,
Power cord,demo_vendor,,,
Pressure switch,demo_vendor,,,
Pro-Twist #8 x 1 in. Phillips Pan-Head Self-Drilling Screws (1 lb. Pack),demo_vendor,,,
Progress Lighting 2-Light Brushed Nickel Spotlight Fixture,demo_vendor,,,
Push switch.,demo_vendor,,,
Quoted job,demo_vendor,,,
RACO Electrical Box: Steel w/ Cover,demo_vendor,,,
Receiver drive up bell,demo_vendor,,,
Receptacle Replugs,demo_vendor,,,
Regular HelperHours Difference,demo_vendor,,,
Repairs,demo_vendor,,,
Rust remover and sand paper,demo_vendor,,,
Rustoleum paint,demo_vendor,,,
S/0 cable,demo_vendor,,,
S/0 connectors,demo_vendor,,,
"Safety power juction box with connectors ,waterproof for freezer",demo_vendor,,,
Saftey bits,demo_vendor,,,
School bell,demo_vendor,,,
"Screw,pin and bolt set",demo_vendor,,,
Screws,demo_vendor,,,
Sensors,demo_vendor,,,
Shutter Mounted Exhaust Fan,demo_vendor,,,
Southwire (By-the-Foot) 2 Black Stranded CU SIMpull THHN Wire,demo_vendor,,,
Southwire 100 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,demo_vendor,,,
Southwire 100 ft. 12/2 Gray Solid CU UF-B W/G Wire,demo_vendor,,,
Southwire 250 ft. 12-Gauge/2-Gauge Solid CU MC (Metal Clad) Armorlite Cable,demo_vendor,,,
Spindle Mounting Bracket with Screws,demo_vendor,,,
Square D 3 Pole 60amp breaker,demo_vendor,,,
Square D Homeline 40 Amp 2-Pole Circuit Breaker(HOM240CP),demo_vendor,,,
Square D QO 30 Amp 2-Pole Circuit Breaker(QO230CP),demo_vendor,,,
Superslick,demo_vendor,,,
TAYMAC N3R Extra Duty Polycarbonate Gray 1-Gang Expandable Weatherproof In-Use Electrical Outlet Cover for Outdoor Outlet,demo_vendor,,,
TR. switch,demo_vendor,,,
TV Mount,demo_vendor,,,
Tap screws,demo_vendor,,,
Termination Materials & Connectors,demo_vendor,,,
Thermostat,demo_vendor,,,
Total,demo_vendor,,,
Transformer,demo_vendor,,,
Troubleshot dryer circuit,demo_vendor,,,
"Twister ProFLEX, Wire Connector + Electrical Tape",demo_vendor,,,
Unbranded 50 ft. 12 Gauge White Stranded Copper THHN Wire,demo_vendor,,,
Vacuum,demo_vendor,,,
WD 40,demo_vendor,,,
WEATHERPROFF IN USE COVER,demo_vendor,,,
WELLS T STAT AND PROBE,demo_vendor,,,
WELLS T STAT KNOB,demo_vendor,,,
Water Heater Heating Element,demo_vendor,,,
Wire & Cable,demo_vendor,,,
Wire 14/3 commercial grade 50 ft,demo_vendor,,,
Wire coduit /outlet,demo_vendor,,,
Wire connector and jointer clip,demo_vendor,,,
Wire connectors,demo_vendor,,,
"Wire, Conduits, and fittings",demo_vendor,,,
Wireless door chime,demo_vendor,,,
Wires and connectors,demo_vendor,,,
Wiring,demo_vendor,,,
Wiring 10 awg Green,demo_vendor,,,
Wiring 10 awg Red,demo_vendor,,,
Wiring 10 awg White,demo_vendor,,,
Wiring 10 awg black,demo_vendor,,,
Working on site,demo_vendor,,,
Xelarator XL GR,demo_vendor,,,
awg wire,demo_vendor,,,
b,demo_vendor,,,
bathroom extractors,demo_vendor,,,
belt dressing,demo_vendor,,,
box,demo_vendor,,,
cleaning solution,demo_vendor,,,
cleanup & testing,demo_vendor,,,
coil cleaner,demo_vendor,,,
controller board,demo_vendor,,,
copper pipe,demo_vendor,,,
couplings,demo_vendor,,,
doorbell and cover,demo_vendor,,,
electrical wire & connectors,demo_vendor,,,
f,demo_vendor,,,
g,demo_vendor,,,
hardware,demo_vendor,,,
inv total,demo_vendor,,,
lab - 1,demo_vendor,,,
lbr,demo_vendor,,,
minimum labadjust,demo_vendor,,,
out door momentary conatact 120vrated switch,demo_vendor,,,
"pvc pipe fitting ,connector ,elbows mis supplies",demo_vendor,,,
relay,demo_vendor,,,
sealant,demo_vendor,,,
self tapping screws,demo_vendor,,,
